index, time stamp, mode, thrust, roll, pitch, yaw, ae0, ae1, ae2, ae3, phi, theta, psi, sp, sq, sr, bat_volt, temperature, pressure
0, 853121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 588, 0, 0
1, 900191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, -60, -18, -44, -33, -35, 581, 0, 0
2, 950440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, -109, -37, -44, -32, -35, 574, 2433, 103491
3, 1000009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 256, -157, -55, -44, -33, -35, 560, 2433, 103491
4, 1050429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, -203, -74, -45, -32, -35, 574, 2433, 103491
5, 1100205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319, -248, -92, -45, -32, -34, 574, 2435, 103493
6, 1150254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349, -291, -110, -45, -33, -35, 560, 2435, 103493
7, 1200186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 377, -333, -128, -44, -33, -35, 574, 2435, 103493
8, 1250438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 405, -373, -146, -44, -33, -35, 574, 2437, 103495
9, 1300007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 432, -411, -163, -44, -32, -35, 560, 2437, 103495
10, 1350425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 459, -449, -181, -44, -33, -35, 574, 2437, 103495
11, 1403298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 489, -493, -202, -43, -32, -35, 574, 2437, 103494
12, 1453273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 513, -528, -219, -44, -32, -35, 560, 2437, 103494
13, 1503111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, -562, -237, -45, -32, -35, 574, 2437, 103494
14, 1553281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 557, -594, -254, -44, -32, -36, 574, 2437, 103492
15, 1602770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 579, -626, -271, -44, -33, -35, 560, 2437, 103492
16, 1653078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 599, -656, -288, -44, -32, -35, 574, 2437, 103492
17, 1702775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 619, -686, -305, -45, -33, -35, 574, 2437, 103489
18, 1752742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 638, -715, -322, -44, -32, -35, 560, 2437, 103489
19, 1802555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 656, -742, -339, -44, -32, -35, 574, 2437, 103489
20, 1852707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 674, -769, -356, -44, -33, -35, 574, 2438, 103490
21, 1902187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 691, -795, -373, -44, -32, -35, 560, 2438, 103490
22, 1952529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 707, -821, -390, -44, -32, -35, 574, 2438, 103490
23, 2002183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 723, -845, -407, -44, -32, -35, 574, 2437, 103488
24, 2052142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 739, -868, -423, -44, -32, -35, 560, 2437, 103488
25, 2101980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 754, -892, -440, -44, -32, -35, 574, 2437, 103488
26, 2152157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 769, -914, -457, -45, -32, -35, 574, 2437, 103488
27, 2201610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 782, -935, -474, -45, -32, -35, 560, 2437, 103488
28, 2251953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 795, -956, -490, -44, -32, -35, 574, 2437, 103488
29, 2301626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 808, -975, -507, -43, -33, -36, 574, 2437, 103488
30, 2351588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 820, -994, -524, -44, -33, -35, 560, 2437, 103488
31, 2401441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 832, -1012, -540, -45, -32, -35, 574, 2437, 103488
32, 2451583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 843, -1030, -557, -44, -32, -35, 574, 2438, 103488
33, 2501072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 855, -1047, -574, -44, -33, -35, 560, 2438, 103488
34, 2551368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 865, -1064, -591, -45, -32, -35, 574, 2438, 103488
35, 2601064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 875, -1081, -607, -43, -32, -35, 574, 2438, 103487
36, 2651020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 885, -1096, -624, -44, -32, -35, 560, 2438, 103487
37, 2700861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 894, -1111, -640, -45, -33, -35, 574, 2438, 103487
38, 2750999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 903, -1126, -657, -44, -32, -35, 574, 2438, 103487
39, 2800484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 912, -1140, -674, -44, -32, -36, 560, 2438, 103487
40, 2850800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 920, -1153, -691, -44, -33, -36, 574, 2438, 103487
41, 2900944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 928, -1166, -708, -44, -32, -35, 574, 2437, 103486
42, 2950998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 936, -1179, -725, -44, -32, -35, 560, 2437, 103486
43, 3000847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 944, -1191, -741, -44, -32, -35, 574, 2437, 103486
44, 3050993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 950, -1203, -758, -44, -33, -36, 574, 2438, 103486
45, 3100463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 957, -1214, -775, -45, -33, -35, 560, 2438, 103486
46, 3150687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 964, -1225, -792, -45, -33, -35, 574, 2438, 103486
47, 3200175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 970, -1235, -809, -45, -34, -35, 574, 2438, 103485
48, 3250224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 976, -1245, -826, -45, -33, -35, 560, 2438, 103485
