index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, esp, esq, esr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure
0, 476232610, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 56, 74, 9586, -1, 1, 1, 0, 0, 0, -1414, 216, 15976, 1190, 14, 18, 13, 0, 0
1, 476242674, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 55, 74, 9586, 0, 0, 4, 0, 0, 0, -1170, 354, 16394, 1190, 14, 18, 13, 0, 0
2, 476252695, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 56, 73, 9586, 1, -2, 1, 0, 0, 0, -1460, 80, 16714, 1190, 14, 18, 13, 0, 0
3, 476262758, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 55, 73, 9586, -2, 3, 0, 0, 0, 0, -1646, 464, 16200, 1190, 14, 18, 13, 0, 0
4, 476272801, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 56, 73, 9586, 0, 2, 5, 0, 0, 0, -1036, 148, 15964, 1190, 14, 18, 13, 0, 0
5, 476282833, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 56, 73, 9586, 0, 0, 2, 0, 0, 0, -1168, 296, 15914, 1190, 14, 18, 13, 0, 0
6, 476292877, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 55, 74, 9586, -1, -1, -1, 0, 0, 0, -1230, 296, 16056, 1190, 14, 18, 13, 0, 0
7, 476302917, 5, 1758, 0, 0, 0, 219, 219, 219, 219, 56, 74, 9586, 1, -3, 1, 0, 0, 0, -1466, 12, 16488, 1190, 14, 18, 13, 0, 0
8, 476312981, 5, 1831, 0, 0, 0, 219, 219, 219, 219, 55, 73, 9587, -1, 2, 3, 0, 0, 0, -1482, 280, 16652, 1190, 14, 18, 13, 0, 0
9, 476323005, 5, 1831, 0, 0, 0, 228, 228, 228, 228, 55, 73, 9587, -1, 3, 1, 0, 0, 0, -1258, 224, 16152, 1190, 14, 18, 13, 0, 0
10, 476333036, 5, 1787, 0, 0, 0, 228, 228, 228, 228, 55, 73, 9587, -1, 1, -1, 0, 0, 0, -1354, 296, 15944, 1190, 14, 18, 13, 0, 0
11, 476343090, 5, 1787, 0, 0, 0, 223, 223, 223, 223, 55, 73, 9587, -1, 1, 3, 0, 0, 0, -1342, 422, 16180, 1190, 14, 18, 13, 0, 0
12, 476353111, 5, 1831, 0, 0, 0, 223, 223, 223, 223, 55, 73, 9587, 0, -1, 3, 0, 0, 0, -1314, 80, 16510, 1183, 14, 18, 13, 0, 0
13, 476363167, 5, 1831, 0, 0, 0, 228, 228, 228, 228, 55, 73, 9587, -1, 2, 1, 0, 0, 0, -1416, 152, 15838, 1183, 14, 18, 13, 0, 0
14, 476373249, 5, 1831, 0, 0, 0, 228, 228, 228, 228, 55, 73, 9588, -1, 1, 2, 0, 0, 0, -954, 398, 15960, 1183, 14, 18, 13, 0, 0
15, 476383249, 5, 1860, 0, 0, 0, 228, 228, 228, 228, 55, 73, 9588, 2, -2, 1, 0, 0, 0, -1354, 98, 16592, 1183, 14, 18, 13, 0, 0
16, 476393397, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 55, 73, 9588, -2, 2, 2, 0, 0, 0, -1648, 254, 16030, 1183, 14, 18, 13, 0, 0
17, 476403329, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 55, 73, 9588, -1, 1, 1, 0, 0, 0, -1136, 238, 15932, 1183, 14, 18, 13, 0, 0
18, 476413522, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 55, 73, 9588, 0, -3, 1, 0, 0, 0, -1218, 310, 15824, 1183, 14, 18, 13, 0, 0
19, 476423406, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 55, 73, 9588, -1, 1, 3, 0, 0, 0, -1408, 416, 16600, 1183, 14, 18, 13, 0, 0
20, 476433557, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9588, 0, 2, 1, 0, 0, 0, -1412, 92, 16404, 1183, 14, 18, 13, 0, 0
21, 476443486, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9588, -1, 0, -1, 0, 0, 0, -1302, 504, 16228, 1183, 14, 18, 13, 0, 0
22, 476453523, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9588, 1, 0, 3, 0, 0, 0, -1272, 18, 16362, 1183, 14, 18, 13, 0, 0
23, 476463556, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9589, 0, 2, 4, 0, 0, 0, -1420, 304, 16424, 1183, 14, 18, 13, 0, 0
24, 476473603, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9589, -2, 0, -1, 0, 0, 0, -1408, 718, 16280, 1183, 14, 18, 13, 0, 0
25, 476483639, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 73, 9588, 2, 0, 1, 0, 0, 0, -1318, -260, 16302, 1183, 14, 18, 13, 0, 0
26, 476493687, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9589, -1, 3, 6, 0, 0, 0, -1302, 622, 16194, 1183, 14, 18, 13, 0, 0
27, 476503724, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 72, 9589, -2, 1, -1, 0, 0, 0, -1346, 316, 16290, 1190, 14, 18, 13, 0, 0
28, 476513756, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 73, 9589, 0, 1, -1, 0, 0, 0, -1206, -52, 15842, 1190, 14, 18, 13, 0, 0
29, 476523979, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 73, 9589, -1, 2, 7, 0, 0, 0, -1346, 570, 16442, 1190, 14, 18, 13, 0, 0
30, 476533849, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 72, 9590, 1, -4, 3, 0, 0, 0, -1448, 206, 16746, 1190, 14, 18, 13, 0, 0
31, 476543895, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 73, 9589, -2, 7, -3, 0, 0, 0, -1334, 444, 15656, 1190, 14, 18, 13, 0, 0
32, 476553931, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 73, 9590, -1, 2, 6, 0, 0, 0, -1218, 30, 16110, 1183, 14, 18, 13, 0, 0
33, 476563986, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 72, 9590, 1, -4, 6, 0, 0, 0, -1058, 200, 16104, 1183, 14, 18, 13, 0, 0
34, 476574019, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 74, 9590, -2, 0, -6, 0, 0, 0, -1896, 518, 16114, 1183, 14, 18, 13, 0, 0
35, 476584118, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 72, 9590, 1, 0, 4, 0, 0, 0, -1170, -390, 16568, 1183, 14, 18, 13, 0, 0
36, 476594106, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 71, 9591, 2, 5, 7, 0, 0, 0, -1190, 402, 16014, 1183, 14, 18, 13, 0, 0
37, 476604254, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9590, -2, -1, -8, 0, 0, 0, -1830, 242, 15566, 1190, 14, 18, 13, 0, 0
38, 476614192, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 72, 9590, 0, -1, 4, 0, 0, 0, -652, -120, 15864, 1190, 14, 18, 13, 0, 0
39, 476624391, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 55, 72, 9591, 2, 0, 8, 0, 0, 0, -1466, 368, 16258, 1190, 14, 18, 13, 0, 0
40, 476634279, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 73, 9591, -2, -1, -7, 0, 0, 0, -1682, 510, 16274, 1190, 14, 18, 13, 0, 0
41, 476644451, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 71, 9590, 0, -2, 1, 0, 0, 0, -1072, 144, 16568, 1190, 14, 18, 13, 0, 0
42, 476654354, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 56, 72, 9591, 1, 5, 9, 0, 0, 0, -1784, 384, 16302, 1183, 14, 18, 13, 0, 0
43, 476664432, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 57, 71, 9591, -2, 1, -3, 0, 0, 0, -1138, 368, 16134, 1183, 14, 18, 13, 0, 0
44, 476674418, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 71, 9591, 0, -2, -2, 0, 0, 0, -1008, 448, 16006, 1183, 14, 18, 13, 0, 0
45, 476684474, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 58, 72, 9591, 0, 1, 8, 0, 0, 0, -1870, 436, 16520, 1183, 14, 18, 13, 0, 0
46, 476694516, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 71, 9592, -2, 1, 1, 0, 0, 0, -1090, 544, 16668, 1183, 14, 18, 13, 0, 0
47, 476704561, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 71, 9591, -2, 1, -4, 0, 0, 0, -1428, 420, 16156, 1190, 14, 18, 13, 0, 0
48, 476714596, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 72, 9591, 1, 4, 7, 0, 0, 0, -1348, -78, 15786, 1190, 14, 18, 13, 0, 0
49, 476724643, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 72, 9592, -1, 1, 3, 0, 0, 0, -728, 590, 15698, 1190, 14, 18, 13, 0, 0
50, 476734671, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 73, 9591, 0, -1, -5, 0, 0, 0, -1524, 218, 15960, 1190, 14, 18, 13, 0, 0
51, 476744724, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 73, 9591, 0, 0, 5, 0, 0, 0, -1214, 8, 16312, 1190, 14, 18, 13, 0, 0
52, 476754771, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 72, 9592, -1, 2, 4, 0, 0, 0, -1414, 644, 16692, 1197, 14, 18, 13, 0, 0
53, 476764792, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 73, 9592, -1, 1, -4, 0, 0, 0, -1572, 148, 16714, 1197, 14, 18, 13, 0, 0
54, 476774846, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 71, 9592, 0, 4, 4, 0, 0, 0, -1084, 194, 16580, 1197, 14, 18, 13, 0, 0
55, 476784884, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 72, 9592, -1, 3, 4, 0, 0, 0, -1894, 522, 16508, 1197, 14, 18, 13, 0, 0
56, 476794968, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 72, 9592, 0, -2, -1, 0, 0, 0, -1018, 36, 16472, 1197, 14, 18, 13, 0, 0
57, 476804966, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 71, 9592, -1, 1, 1, 0, 0, 0, -1138, 324, 15878, 1190, 14, 18, 13, 0, 0
58, 476815070, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 73, 9593, -1, 5, 2, 0, 0, 0, -1872, 388, 15676, 1190, 14, 18, 13, 0, 0
59, 476825030, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 71, 9592, 1, 0, 2, 0, 0, 0, -340, 206, 15854, 1190, 14, 18, 13, 0, 0
60, 476835235, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 73, 9592, 0, -6, -2, 0, 0, 0, -1900, 358, 15880, 1190, 14, 18, 13, 0, 0
61, 476845126, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 73, 9593, -2, 6, 4, 0, 0, 0, -1462, 262, 15554, 1190, 14, 18, 13, 0, 0
62, 476855325, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 71, 9593, 1, -1, 4, 0, 0, 0, -552, 302, 16168, 1183, 14, 18, 13, 0, 0
63, 476865172, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 73, 9592, 0, -2, -4, 0, 0, 0, -1974, 94, 15664, 1183, 14, 18, 13, 0, 0
64, 476875309, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 73, 9593, -1, 5, 6, 0, 0, 0, -1010, 302, 15654, 1183, 14, 18, 13, 0, 0
65, 476885287, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 72, 9593, 1, -2, 4, 0, 0, 0, -998, 240, 16176, 1183, 14, 18, 13, 0, 0
66, 476895322, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 62, 74, 9593, -1, -2, -3, 0, 0, 0, -1808, 110, 16078, 1183, 14, 18, 13, 0, 0
67, 476905372, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 72, 9593, -1, 4, 4, 0, 0, 0, -1286, 358, 16330, 1183, 14, 18, 13, 0, 0
68, 476915403, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 61, 72, 9594, -1, 1, 2, 0, 0, 0, -1262, 74, 16088, 1183, 14, 18, 13, 0, 0
69, 476925436, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 73, 9594, -1, 2, -1, 0, 0, 0, -1388, 150, 15828, 1183, 14, 18, 13, 0, 0
70, 476935479, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 73, 9594, -1, 1, 2, 0, 0, 0, -1074, 204, 15764, 1183, 14, 18, 13, 0, 0
71, 476945532, 5, 1860, 0, 0, 0, 232, 232, 232, 232, 60, 73, 9594, 0, 0, 2, 0, 0, 0, -1108, 224, 15910, 1183, 14, 18, 13, 0, 0
