index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, esp, esq, esr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure
0, 62362667, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2365, -889, 1277, -5, -7, -18, -32, -7, -14, -16264, -14968, 10352, 1162, 0, 0, 0, 0, 0
1, 62366568, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2390, -462, 1277, 47, 113, 147, 20, 113, -10, 12624, -5764, 9924, 1162, 0, 0, 0, 0, 0
2, 62370459, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2300, -654, 1277, -48, -253, -128, -75, -253, -6, -6288, 9376, 11584, 1162, 0, 0, 0, 0, 0
3, 62374347, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2334, -696, 1277, 31, 165, 8, 4, 165, -4, -2236, -6944, 18512, 1162, 0, 0, 0, 0, 0
4, 62378229, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2362, -1138, 1277, 51, -888, -104, 24, -888, -5, -13652, -6272, 21172, 1162, 0, 0, 0, 0, 0
5, 62382116, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2249, -1575, 1277, -5, -207, 76, -32, -207, -7, -14840, 12060, 22556, 1162, 0, 0, 0, 0, 0
6, 62386066, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2123, -1158, 1277, 93, -579, 59, 66, -579, -6, 12556, 13400, 14584, 1162, 0, 0, 0, 0, 0
7, 62389894, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2054, -1615, 1277, 17, 532, 94, -10, 532, -2, -16480, 6572, 26980, 1162, 0, 0, 0, 0, 0
8, 62393794, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2150, -1340, 1277, 114, 290, -28, 87, 290, 4, 6812, -14984, 25324, 1162, 0, 0, 0, 0, 0
9, 62397684, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2297, -2052, 1277, 29, 375, -77, 2, 375, 7, -24628, -21164, 30824, 1162, 0, 0, 0, 0, 0
10, 62401601, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2358, -1762, 1277, 88, 12, 101, 61, 12, 8, 7228, -10648, 18192, 1162, 0, 0, 0, 0, 0
11, 62405471, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2194, -1775, 1277, -9, -802, -75, -36, -802, 9, -1120, 18612, 9172, 1162, 0, 0, 0, 0, 0
12, 62409352, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2221, -1517, 1277, 124, -325, 44, 97, -325, 9, 6928, -6408, 3780, 1162, 0, 0, 0, 0, 0
13, 62413251, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2218, -1542, 1277, 17, -1122, -61, -10, -1122, 8, -808, -2028, 4924, 1162, 0, 0, 0, 0, 0
14, 62417191, 2, 2978, 0, 0, 0, 372, 372, 372, 372, -2089, -1774, 1277, -24, 201, 81, -51, 201, 7, -9228, 14424, 13056, 1162, 0, 0, 0, 0, 0
