index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, esp, esq, esr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure
0, 1833754, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -515, 354, -65, 33, 35, 0, 0, 0, -2074, 798, 14890, 602, 0, 0, 0, 0, 0
1, 1843732, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 79, -518, 357, -33, 35, 29, 0, 0, 0, -2092, 1082, 14698, 602, 0, 0, 0, 0, 0
2, 1853993, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -520, 360, -37, 36, 31, 0, 0, 0, -2072, 988, 14792, 602, 0, 0, 0, 0, 0
3, 1863701, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -523, 363, -33, 34, 29, 0, 0, 0, -2138, 1122, 14566, 602, 0, 0, 0, 0, 0
4, 1873672, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -526, 366, -42, 34, 32, 0, 0, 0, -2102, 950, 14830, 602, 0, 0, 0, 0, 0
5, 1883647, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 81, -530, 369, -32, 33, 30, 0, 0, 0, -2058, 1174, 14572, 602, 0, 0, 0, 0, 0
6, 1893594, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 81, -533, 372, -48, 34, 32, 0, 0, 0, -2080, 970, 14834, 602, 0, 0, 0, 0, 0
7, 1903564, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -536, 375, -41, 34, 30, 0, 0, 0, -2108, 1102, 14610, 595, 0, 0, 0, 0, 0
8, 1913551, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 80, -539, 378, -46, 34, 31, 0, 0, 0, -2068, 1008, 14686, 595, 0, 0, 0, 0, 0
9, 1923543, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 79, -542, 381, -44, 33, 30, 0, 0, 0, -2070, 1072, 14678, 595, 0, 0, 0, 0, 0
10, 1933513, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 79, -544, 384, -46, 34, 31, 0, 0, 0, -2040, 1000, 14762, 595, 0, 0, 0, 0, 0
11, 1943474, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 78, -547, 388, -43, 33, 31, 0, 0, 0, -2054, 1058, 14660, 595, 0, 0, 0, 0, 0
12, 1953791, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 78, -550, 391, -46, 33, 31, 0, 0, 0, -2014, 1012, 14754, 602, 0, 0, 0, 0, 0
13, 1963444, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 77, -552, 394, -42, 33, 31, 0, 0, 0, -2004, 1080, 14700, 602, 0, 0, 0, 0, 0
14, 1973517, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 77, -555, 397, -46, 32, 32, 0, 0, 0, -2002, 1026, 14768, 602, 0, 0, 0, 0, 0
15, 1983387, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 76, -557, 400, -43, 32, 31, 0, 0, 0, -2020, 1074, 14712, 602, 0, 0, 0, 0, 0
16, 1993559, 0, 2687, 0, 0, 0, 0, 0, 0, 0, 76, -560, 403, -46, 32, 31, 0, 0, 0, -2014, 1046, 14740, 602, 0, 0, 0, 0, 0
