index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure
0, 54507668, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 1, 4728, 1, 3, 0, -1638, 620, 14892, 595, 0, 16, 2, 0, 0
1, 54517647, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 1, 4728, 1, 3, 0, -1646, 614, 14868, 595, 0, 16, 2, 0, 0
2, 54527627, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 1, 4728, 1, 3, -1, -1666, 612, 14902, 595, 0, 16, 2, 0, 0
3, 54537617, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 1, 3, 0, -1650, 608, 14898, 595, 0, 16, 2, 0, 0
4, 54547601, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 0, 2, 0, -1640, 610, 14882, 595, 0, 16, 2, 0, 0
5, 54557586, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 1, 3, 0, -1642, 618, 14896, 595, 0, 16, 2, 0, 0
6, 54567573, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 0, 2, -1, -1644, 616, 14894, 595, 0, 16, 2, 0, 0
7, 54577546, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 1, 3, -1, -1644, 608, 14924, 595, 0, 16, 2, 0, 0
8, 54587538, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 0, 2, 0, -1638, 614, 14958, 595, 0, 16, 2, 0, 0
9, 54597526, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 1, 3, 0, -1646, 622, 14902, 595, 0, 16, 2, 0, 0
10, 54607506, 5, 3263, 0, 0, 0, 407, 407, 407, 407, 1, 0, 4728, 1, 3, 0, -1660, 630, 14912, 595, 0, 16, 2, 0, 0
