index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure,,,,
0,465726517,5,3263,0,0,0,408,408,406,407,76,-36,4588,-11,-4,-2,-1628,632,14992,595,0,16,2,0,0,,,,
1,465730384,5,3263,0,0,0,408,408,406,407,76,-36,4588,-11,-5,-1,-1552,596,15124,595,0,16,2,0,0,,3867,,3.90625
2,465734252,5,3263,0,0,0,408,408,406,407,76,-37,4588,-15,-3,-2,-1648,540,15092,595,0,16,2,0,0,,3868,,
3,465738115,5,3263,0,0,0,408,408,406,407,76,-38,4588,-9,-1,-1,-1684,584,15040,595,0,16,2,0,0,,3863,,
4,465741991,5,3263,0,0,0,408,408,406,407,76,-36,4588,-11,0,0,-1492,528,14908,595,0,16,2,0,0,,3876,,
5,465745887,5,3263,0,0,0,408,408,407,407,75,-37,4588,-10,-2,0,-1664,448,14864,595,0,16,2,0,0,,3896,,
6,465749717,5,3263,0,0,0,408,408,406,407,75,-38,4588,-12,-6,0,-1688,572,15128,595,0,16,2,0,0,,3830,,
7,465753637,5,3263,0,0,0,408,408,406,407,75,-38,4588,-11,-2,0,-1576,588,15024,595,0,16,2,0,0,,3920,,
8,465757455,5,3263,0,0,0,408,408,406,407,75,-38,4588,-14,1,2,-1660,528,14884,595,0,16,2,0,0,,3818,,
9,465761323,5,3263,0,0,0,408,408,407,407,75,-39,4588,-11,-5,-1,-1676,644,14928,595,0,16,2,0,0,,3868,,
10,465765190,5,3263,0,0,0,408,408,406,407,75,-40,4588,-9,-2,-3,-1656,608,14780,595,0,16,2,0,0,,3867,,
11,465769059,5,3263,0,0,0,408,408,406,407,76,-40,4588,-12,0,1,-1704,680,14960,595,0,16,2,0,0,,3869,,
12,465772935,5,3263,0,0,0,408,408,407,407,76,-40,4588,-10,-1,1,-1608,584,15056,595,0,16,2,0,0,,3876,,
13,465776795,5,3263,0,0,0,408,408,406,407,77,-40,4588,-11,-2,-2,-1568,652,14780,595,0,16,2,0,0,,3860,,
14,465780664,5,3263,0,0,0,408,408,406,407,78,-40,4588,-10,-4,0,-1616,728,15044,595,0,16,2,0,0,,3869,,
15,465784575,5,3263,0,0,0,408,408,406,407,78,-40,4588,-13,-1,-2,-1560,624,15000,595,0,16,2,0,0,,3911,,
16,465788411,5,3263,0,0,0,408,408,406,407,78,-40,4588,-15,-2,0,-1540,604,14920,595,0,16,2,0,0,,3836,,
17,465792273,5,3263,0,0,0,408,408,406,407,78,-40,4588,-13,-1,-1,-1552,548,15016,595,0,16,2,0,0,,3862,,
