index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure
0, 7813571, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -795, 2164, -43, 31, -32, -1840, 864, 14922, 602, 0, 0, 0, 0, 0
1, 7823702, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -795, 2167, -43, 31, -32, -1836, 830, 14962, 602, 0, 0, 0, 0, 0
2, 7833549, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -795, 2170, -44, 31, -32, -1824, 838, 14968, 602, 0, 0, 0, 0, 0
3, 7843672, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -795, 2174, -45, 31, -32, -1798, 816, 15012, 602, 0, 0, 0, 0, 0
4, 7853759, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2176, -44, 31, -31, -1788, 820, 14966, 595, 0, 0, 0, 0, 0
5, 7863513, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2179, -44, 31, -31, -1780, 810, 14972, 595, 0, 0, 0, 0, 0
6, 7873456, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2182, -45, 31, -31, -1790, 802, 14948, 595, 0, 0, 0, 0, 0
7, 7883436, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2185, -44, 31, -31, -1804, 828, 14944, 595, 0, 0, 0, 0, 0
8, 7893407, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2188, -45, 31, -31, -1810, 834, 14954, 595, 0, 0, 0, 0, 0
9, 7903671, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2191, -43, 31, -32, -1838, 846, 14928, 602, 0, 0, 0, 0, 0
10, 7913349, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2194, -43, 31, -31, -1876, 860, 14952, 602, 0, 0, 0, 0, 0
11, 7923326, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2197, -44, 31, -31, -1852, 870, 14938, 602, 0, 0, 0, 0, 0
12, 7933313, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -795, 2200, -44, 30, -31, -1844, 890, 14962, 602, 0, 0, 0, 0, 0
13, 7943287, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2203, -44, 31, -31, -1862, 872, 14930, 602, 0, 0, 0, 0, 0
14, 7953672, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2206, -44, 31, -32, -1862, 860, 14926, 595, 0, 0, 0, 0, 0
15, 7963231, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2209, -44, 31, -32, -1838, 866, 14918, 595, 0, 0, 0, 0, 0
16, 7973205, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2212, -44, 31, -31, -1816, 852, 14948, 595, 0, 0, 0, 0, 0
17, 7983207, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2215, -44, 31, -31, -1792, 840, 14960, 595, 0, 0, 0, 0, 0
18, 7993190, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2218, -44, 30, -32, -1788, 816, 14972, 595, 0, 0, 0, 0, 0
19, 8003645, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2221, -44, 30, -32, -1792, 830, 14972, 602, 0, 0, 0, 0, 0
20, 8013214, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2224, -44, 31, -32, -1804, 832, 14958, 602, 0, 0, 0, 0, 0
21, 8023101, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -139, -796, 2227, -44, 31, -32, -1812, 832, 14954, 602, 0, 0, 0, 0, 0
22, 8033231, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2230, -44, 31, -32, -1824, 822, 14944, 602, 0, 0, 0, 0, 0
23, 8043075, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2233, -44, 31, -32, -1826, 826, 14958, 602, 0, 0, 0, 0, 0
24, 8053784, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2236, -44, 31, -32, -1824, 834, 14958, 595, 0, 0, 0, 0, 0
25, 8063023, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2239, -44, 31, -31, -1834, 852, 14950, 595, 0, 0, 0, 0, 0
26, 8073015, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2242, -44, 31, -32, -1832, 824, 14962, 595, 0, 0, 0, 0, 0
27, 8082971, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2245, -44, 31, -31, -1832, 830, 14972, 595, 0, 0, 0, 0, 0
28, 8092968, 0, 2687, 0, 0, 0, 0, 0, 0, 0, -140, -796, 2248, -44, 31, -32, -1828, 840, 14960, 595, 0, 0, 0, 0, 0
